,image_path,label
0,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-1.jpg,0
1,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-10.jpg,0
2,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-11.jpg,0
3,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-12.jpg,0
4,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-13.jpg,0
5,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-14.jpg,0
6,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-15.jpg,0
7,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-16.jpg,0
8,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-17.jpg,0
9,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-18.jpg,0
10,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-19.jpg,0
11,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-2.jpg,0
12,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-20.jpg,0
13,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-21.jpg,0
14,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-22.jpg,0
15,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-23.jpg,0
16,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-24.jpg,0
17,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-25.jpg,0
18,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-26.jpg,0
19,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-27.jpg,0
20,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-28.jpg,0
21,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-29.jpg,0
22,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-3.jpg,0
23,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-30.jpg,0
24,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-31.jpg,0
25,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-32.jpg,0
26,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-33.jpg,0
27,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-34.jpg,0
28,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-35.jpg,0
29,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-36.jpg,0
30,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-37.jpg,0
31,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-38.jpg,0
32,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-39.jpg,0
33,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-4.jpg,0
34,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-40.jpg,0
35,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-41.jpg,0
36,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-42.jpg,0
37,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-43.jpg,0
38,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-44.jpg,0
39,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-45.jpg,0
40,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-46.jpg,0
41,/home/irene/ISEF-Project-2023/Data/Alta Murgia/1_1-47.jpg,0
